HeartRate_mean,HeartRate_std,HeartRate_min,HeartRate_max,HeartRate_median,HeartRate_count,HeartRate_skew,HeartRate_kurtosis,HeartRateVariabilitySDNN_mean,HeartRateVariabilitySDNN_min,HeartRateVariabilitySDNN_max,HeartRateVariabilitySDNN_std,HeartRateVariabilitySDNN_median,OxygenSaturation_mean,OxygenSaturation_std,OxygenSaturation_min,OxygenSaturation_max,OxygenSaturation_median,RespiratoryRate_mean,RespiratoryRate_std,RespiratoryRate_min,RespiratoryRate_max,RespiratoryRate_median,sleep_bedrestDuration_day_median,sleep_bedrestDuration_day_min,sleep_bedrestDuration_day_max,sleep_bedrestDuration_day_std,sleep_sleepDuration_day_median,sleep_sleepDuration_day_min,sleep_sleepDuration_day_max,sleep_sleepDuration_day_std,sleep_sleepEfficiency_day_median,sleep_sleepEfficiency_day_min,sleep_sleepEfficiency_day_max,sleep_sleepEfficiency_day_std,sleep_sleepOnsetLatency_day_median,sleep_sleepOnsetLatency_day_min,sleep_sleepOnsetLatency_day_max,sleep_sleepOnsetLatency_day_std,sleep_sleepHR_day_median,sleep_sleepHR_day_min,sleep_sleepHR_day_max,sleep_sleepHR_day_std,sleep_sleepHRV_day_median,sleep_sleepHRV_day_min,sleep_sleepHRV_day_max,sleep_sleepHRV_day_std,sleep_sleep_day_count,sleep_bedrest_day_count,AppleExerciseTime_count,AppleExerciseTime_duration,ActiveEnergyBurned_sum,ActiveEnergyBurned_count,ActiveEnergyBurned_duration,StepCount_sum,StepCount_count,StepCount_duration
73.66865,14.257125,53.0,124.0,72.0,167.0,0.98795503,1.0758464,0.02922538,0.007695449,0.07966833,0.012935073,0.027190605,0.962234,0.018325273,0.9,1.0,0.965,14.503968,1.9429837,10.5,20.5,14.0,8.023062,7.8760405,8.762013,0.36500582,6.625,5.475,7.1916666,0.66389555,0.79951096,0.69141126,0.8876129,0.0697297,1.2427073,0.6184714,2.4185867,0.67022485,59.0,54.0,63.0,2.7680044,0.027963342,0.026389945,0.050803803,0.008840032,7.0,7.0,298.0,4.9666667,25045592.0,8877.0,78.73395,85443.0,1775.0,32.63301
68.99814,8.111552,58.5,118.0,67.0,141.0,2.0883446,8.794965,0.044227887,0.01125,0.10746365,0.023117563,0.03725247,0.95592105,0.02562345,0.9,1.0,0.9575,13.446428,0.6137728,12.5,14.5,13.25,5.383333,0.05,10.033334,4.995563,0.05,0.0,8.791667,4.033068,0.9721362,0.87624586,1.0,0.064918466,0.0,0.0,0.0,0.0,65.5,63.0,68.0,3.535534,0.030458722,0.029605504,0.03131194,0.0012066312,5.0,3.0,40.0,0.6666667,11532133.0,6786.0,76.80644,24736.0,364.0,22.71517
74.36259,17.962317,54.0,154.0,69.0,162.0,1.87582,3.7793875,0.05018821,0.015586038,0.17126992,0.025753936,0.046153825,0.9626966,0.014519895,0.92,1.0,0.96,14.723485,1.8770521,11.75,20.25,14.375,8.666667,7.9259877,9.94514,0.6548092,7.383333,4.75,8.766666,1.3021566,0.85109365,0.51186085,0.9721154,0.15008564,0.8946817,0.0,2.2381995,0.72081864,63.0,56.0,68.0,4.0192986,0.04004363,0.029807145,0.06684914,0.01252386,7.0,7.0,508.0,8.466666,34065076.0,16714.0,68.873726,45755.0,2356.0,26.02568
66.13077,8.998645,49.0,100.0,67.0,166.0,0.43367982,0.5359067,0.0325035,0.010640676,0.09127771,0.014659034,0.029523298,0.97,0.014727925,0.935,1.0,0.97,15.739436,1.315048,12.75,19.5,15.5,8.686271,8.002432,10.35281,1.0073553,7.733333,5.6583333,8.816667,1.2290412,0.82063377,0.7070767,0.9315467,0.08166716,1.1778095,0.41127083,2.2940984,0.7239256,57.0,53.0,59.0,2.0701966,0.035849426,0.031898197,0.04196171,0.0032297317,7.0,7.0,59.0,0.98333335,9153483.0,5311.0,66.41173,48157.0,850.0,19.831814
65.92311,10.603533,50.0,97.0,65.0,153.0,0.5108652,-0.35060668,0.033130497,0.0115189245,0.0846399,0.01724191,0.029743776,0.9640104,0.020386009,0.88,1.0,0.96,13.107955,2.217398,9.5,18.0,12.375,9.116667,7.1,9.421659,0.95351595,6.375,0.0,8.683333,3.974151,0.8144932,0.0,0.952468,0.38976687,0.6197189,0.0,2.0883262,1.0212425,55.5,53.0,61.0,3.9475732,0.05057118,0.0115189245,0.053524435,0.020140711,7.0,5.0,116.0,1.9333333,15005774.0,1327.0,90.01747,45223.0,462.0,33.58705
70.77882,18.214762,54.0,150.0,66.0,155.0,2.4112077,6.0739408,0.0483029,0.01676941,0.25533193,0.03214292,0.04392579,0.9711111,0.019637337,0.87,1.0,0.97,15.396341,1.9913685,13.0,22.0,14.75,9.789329,7.35,10.295091,1.3786389,5.575,0.0,7.275,3.5026634,0.63583976,0.5978305,0.9897959,0.18567294,0.58478516,0.0,1.5425408,0.64330167,59.0,58.0,59.671642,0.68899655,0.028338395,0.018897898,0.053691957,0.014990397,7.0,4.0,616.0,10.266666,33139866.0,19120.0,68.7158,56960.0,354.0,27.67387
77.94702,13.118317,59.0,132.0,76.0,169.0,1.4630342,2.9271097,0.037871484,0.017809711,0.09696486,0.014815764,0.035723884,0.9696591,0.031611703,0.85,1.0,0.98,15.095395,2.3755586,9.0,30.0,14.5,9.67398,9.09494,12.364402,1.4473083,7.4583335,5.8333335,9.525,1.298641,0.77270615,0.49469975,0.88137287,0.13921104,2.1684744,0.5656464,4.656069,1.490194,66.0,64.0,68.0,1.3972763,0.04035812,0.03240118,0.05804579,0.008691829,7.0,7.0,209.0,3.4833333,9848906.0,21670.0,78.12702,59191.0,1140.0,28.645388
67.025566,16.600964,52.5,147.5,63.0,82.0,2.6115878,7.839891,0.039188903,0.01676619,0.09268077,0.018704921,0.032570634,0.9622222,0.017074555,0.93,1.0,0.96,15.063953,1.310549,13.0,21.0,14.75,9.813958,8.920971,10.550729,0.71514034,8.491667,7.9416666,8.591666,0.30652624,0.8658353,0.7527126,0.9630865,0.08721509,0.89107305,0.27097112,1.5173953,0.6909908,56.5,55.0,60.0,2.4494898,0.034485612,0.027718246,0.046530683,0.0084411325,4.0,4.0,263.0,4.383333,16848634.0,8204.0,29.055887,24775.0,660.0,12.519611
64.9427,12.966881,49.0,132.0,63.0,292.0,1.903405,5.0992627,0.0326412,0.011016644,0.08608811,0.016348377,0.029207448,0.95976317,0.026697833,0.85,1.0,0.96,13.358491,2.478003,9.5,19.75,12.5,8.787861,4.983333,10.859325,1.4473294,6.6625,0.0,8.925,3.5349452,0.8042116,0.0,0.9645749,0.33551735,1.0816954,0.0,2.5332289,0.8966277,55.0,53.0,64.0,3.6270587,0.033112083,0.015697844,0.05524884,0.012533953,14.0,12.0,165.0,2.75,22242512.0,2312.0,163.7321,53901.0,626.0,38.27089
70.7972,11.640754,53.0,118.0,70.0,167.0,0.90406066,1.3089082,0.037619147,0.01396209,0.07001238,0.012645108,0.03630116,0.96885717,0.031694446,0.89,1.0,0.98,15.246667,1.2049261,13.5,20.0,15.0,9.324624,7.0583334,10.308333,1.0454234,7.975,6.225,10.15,1.1812663,0.8948313,0.8470992,0.98464024,0.044452455,0.100918055,0.0,0.3015711,0.1242812,59.0,55.0,65.0,3.5699453,0.036748618,0.021969063,0.06600138,0.013558071,7.0,7.0,181.0,3.0166667,8895581.0,8069.0,79.85486,54756.0,1167.0,27.326946
68.50684,16.166664,52.0,161.0,67.0,158.0,3.8735871,18.9151,0.029132407,0.012035055,0.07701502,0.012732136,0.025532488,0.9626923,0.01546359,0.92,1.0,0.96,15.427536,1.3347046,13.0,19.75,15.0,10.007911,6.7932754,11.154195,1.4249614,7.733333,0.0,9.475,3.1743026,0.7120191,0.0,0.9660153,0.31565413,2.545594,0.0,3.550784,1.443822,56.928074,54.0,60.0,2.2401042,0.029711723,0.020875378,0.035061684,0.0049624653,7.0,7.0,88.0,1.4666667,8605007.0,4984.0,48.61898,37965.0,1462.0,15.951055
75.55535,15.22453,53.0,145.0,72.0,276.0,1.4714772,3.3258224,0.06038389,0.014848646,0.15387084,0.029986504,0.0599725,0.9387063,0.0326673,0.83,1.0,0.94,16.771341,2.1706522,13.5,24.5,16.25,7.5691233,5.00702,9.543546,1.2096392,5.8958335,0.0,7.85,3.027084,0.8396565,0.0,0.969968,0.40203938,0.78046584,0.19035333,2.6282632,0.8007443,70.0,58.0,73.0,5.068969,0.077610634,0.04952287,0.104328364,0.020253478,12.0,14.0,568.0,9.466666,34836508.0,12066.0,118.83762,81124.0,849.0,51.721516
